id,cor_sentence
grm2206290018143,올해는 그렇지 않다 보니 더 불안하기만 하네요.
grm2206290028279,그럼 게시판에 올리기 위해 공부 시간를 올리자! 하는 마음으로...
grm2208180042474,명시적으로 드러나진 않아서요.
grm2208180054508,시의 표현상의 특징을 묻는 질문이 나왔습니다.
grm2208020066843,두고 풀어도 답이 똑같이 나오나요?
grm2208300086026,개인적 이해관계를 반영해 자료를 선별한 것과 연구자의 가치가 개입되어 왜곡된 자료 수집을 한 것은 같은 의미인가요?
grm2208250056087,카메라가 너무 늦게 따라가거나 안 비쳐주네요.
grm2207200027501,출발선이 살짝 다르다고 느낄 뿐이다.
grm2209210115178,물리 집중으로 가면 그렇게 오래 걸리진 않아요.
grm2208310066292,볼 수 있는 것인지 잘 이해가 되지 않습니다.
grm2209050051602,시의 한 부분에서 제시된 배경은 시 전체의 배경의 역할을 하나요?
grm2208010076401,수선의 발 이 더 위로 간다고 강의하는데 더 위로 가는지 아래로 가는지 모르겠어요.
grm2208290088693,이렇게 문제를 풀어도 될까요.
grm2206150042978,머리로 최대한 기억하려고 노력할까요?
grm2208300073527,왜냐하면 매질이 움직이지 않을 때는 음속과 전파 속도가 동일하지만 매질이 움직이면 두 값이 달라지기 때문입니다.
grm2208010073744,손으로 잡고 있는 힘은 어떻게 되나요?
grm2207180000490,게시물 주인한테 그래도 제대로 된 충고 남김.
grm2209230105535,오늘 가는 사람들은 무슨 죄야.
grm2209050069999,가정하고 풀이를 시작하시는 건가요?
grm2208190068019,그리고 동기화라는 것은 정확히 무엇인가요?
grm2206160041382,"해설지에는 체념, 순응할 필요가 없다고 생각한다고 나와있어요."
grm2207050028468,선배님이 군대를 가셔서 얼굴 한 번 못 보고 낙동강 오리알이 되었죠.
grm2208110056773,"나오는데요, 이러한 조공 형식 무역은 언제까지 지속된 건가요?"
grm2210190107395,몇몇 개는 분량으로 하면 시간을 너무 들쭉날쭉하게 쓰기 때문에 시간을 정해놓기도 하고요.
grm2209140107685,삼수로 넘어갈 때는 힘들었지만 부모님과 제 미래를 생각하면서 버텼던 거 같아요!
grm2209080050148,문의를 할 수 있는 수단이 없어서 여기로 합니다.
grm2209140099462,나의 소 논문 주제는 베트남 학습자와 중국 학습자를 중심으로 유표 가설을 증명하는 것이야.
grm2207260018962,영어에서 유일하게 자신 있는 듣기에서 나갈 뻔했네요.
grm2206150074077,문제 구성이 어떻게 되나요?
grm2208160072577,궁금한 점은 다음과 같습니다.
grm2209160106420,넌 어떤 부당한 일이 있을 것 같으면 녹음을 하니?
grm2209190112246,운전면허 따기 많이 어렵나요?
grm2210050111673,건강 조심하고 스트레칭도 자주 할게요.
grm2206280030477,마스터님이라 일대일이 안되겠네요..?
grm2206290027724,푸셨다면 어느 시기쯤에 푸셨는지 궁금합니다.
grm2208030071627,왜 선생님께서 거리는 고려하시지 않는 것인가요?
ext0000000121039,이날도 나는 중요 취재원과 점심을 먹다 말고 일어서야 했다.
grm2206170074137,교재 입고는 언제인가요.
grm2209050091838,하시던데 혹시 다시 볼 수 있나요?
grm2209150118971,"저는 개념은 알겠는데, 문제는 못 풀겠어요.."
grm2206280025200,저는 비문학에서 최대한 줄이고 그 시간을 문학에 썼던 것 같아요!
grm2208170071608,수능 기조에 맞게 열심히 문제 만들었습니다.
grm2207250023289,혹시 이거 캡처해서 가지고 다니면서 봐도 되나요?
grm2208240082424,연구 외의 사적인 목적에 활용했다는 건 연구 윤리에 어긋난 행위인가요.
grm2206150041645,조물주를 어떻게 탓하냐면서 나의 운명을 한탄하는 거라고 선생님이 그러신 거 같은데요.
grm2206170040986,이런 식으로 인물을 요약적으로 제시하는 부분도요.
grm2207050009782,백신 맞고 아플 때 삼계탕 드시면 직방이에요!
grm2207080030150,사고력 기르기에도 괜찮겠죠?
grm2209050090352,제 말투에 대해 불쾌함을 느끼셨다면 죄송합니다.
grm2207110026854,저는 인원수가 많은 학과를 골라서 합격률을 높이려고 했어요!
grm2206220038038,현대 의학이 있다면 현대 한의학도 있겠죠?
grm2207040022618,"공부할 때는 날씨가 좋아도, 날씨가 나빠도 별로인 것 같긴 한데 좋게좋게 생각하는 마음가짐이 중요한 것 같아요!"
grm2210070106590,그럼 다시 부동산 시대임.
grm2207250009774,멋진 이미지 형성에는 영국 억양이 제일인 듯합니다.
grm2206160090374,강의를 들어도 자꾸 의문점이 생겨요.
grm2206280018105,대학교 입학하자마자 일반물리 좀 수월하게 하실 수 있다.
grm2208100061894,기타 사료 질문이라 죄송합니다.
grm2210110108504,더 정신 차려서 열심히 해야겠어요..
grm2208250068455,이상 기체는 보일 법칙이 적용되지 않나요?
grm2209220107552,꿈을 가지라는 건 너무나 억지스럽고 말도 안 되는 거라고 생각합니다.
grm2209280106367,아이고 코로나 언제나 잠잠해질까?
grm2208020044575,커리큘럼에 보면 국어도 있는 것 같은데 국어 강의는 언제쯤 올라오나요?
grm2206230000629,말을 해주면 사라질 거 같은데요.
grm2209260116464,이번 수능이 워낙 불수능이었어야죠!
grm2208180058001,베트남을 정복하고 정화의 원정이 일어났다고...
grm2209220109729,제가 목동 살아서 아는데 절대 안 그래요.
grm2208090061967,왕권이 높으면 왜 안되는 건가요?
grm2208180079061,이것은 연립 착시와 관련이 없는 것인가요?
grm2209060093874,공부하다가 질문이 생겼습니다.
grm2209070091645,그리고 영어 단어도 꾸준히 외워야 될까요?
grm2209210106297,편집자님이 집요하게 다 고쳐두셨어.
grm2210210114978,잘 되다가 뒤로 갈수록 집중 못 했다.
grm2208290051297,공부량을 늘리기 위한 목적으로 병행하려고 계획하고 있습니다.
grm2207200020377,모의고사가 아닌 학교 성적 관리하는 것이 맞습니다.
grm2209190098843,건물 문 두 개 폐쇄하고 정문에 열 감지 카메라 설치해서 아침마다 검사하고 있어요.
grm2209290114077,님도 많이 하시면서 왜 그러십니까?
grm2209020080893,사회와 상관없이 개인이 스스로 자신이 문제가 있다고...
grm2206240035107,극점이라고 생각하고 검증하는 건 괜찮다.
grm2210050112030,문제 풀이와 같은 공부들 중심으로 전 날 못한 공부를 했습니다.
grm2206290024217,내가 원래 화학을 젤 좋아하는 줄 알았는데...
grm2207270001133,공부하다가 보면 내가 가는 길이 맞나 하루가 끝나면 허무함도 든다.
grm2207250012070,고양이 친구들이 또 똑똑한 게 밥 주는 사람은 기가 막히게 알고 애교 부리더라고요.
grm2208160058059,하셔서요 저는 후자로 이해하고 있었습니다.
grm2209270099295,백신 보급이 내년 초반엔 안되나 봐.
grm2206140041295,연음은 음운의 숫자 변동이 없는데 탈락으로 보는 거 아니죠?
grm2208310051806,지문엔 공명은 끝이 없다고 나와있다.
grm2206160067803,생각하고 풀 수 없는 이유가 궁금합니다.
grm2207120038319,어떻게 해야 그런 글씨체가 나올까요...
grm2208020071505,이건 관측이 아니라 그냥 눈에 오는 정보를 보다가 맞는 거 아닌가요?
grm2209300103487,그래서 우리 직원 출입구에 그거 항상 붙어있음.
grm2207210016260,"처음 풀 때는 그냥 풀고, 두 번째부터는 작품을 세 번째는 선지를 중점적으로 봤습니다."
grm2210060103979,자기는 인맥도 좁아서 학교 다니고 싶대.
grm2210050115004,전 어차피 싫어하는 과목은 없고 공부가 싫은 거라 이도 저도 아니라 물리는 가장 하고 싶어 했고 물리화학을 할까 생각 중입니다.
grm2209150108710,얼굴에다가 연애까지 하면서 현역으로 의대 간다고요.
grm2206130080776,악화라는 건 사람의 기준에서 보는 거 같아서요.
grm2210120105502,지인이 걸러지는 절호의 찬스에요.
grm2207220031223,되게 많은 부분과 연계될 수가 있어서 예측하기도 어려워요.
grm2210120114831,만만하게 볼 건 아닌 거 같습니다.
grm2208110088445,소속되어 있지 않은데 소속감을 느끼는 경우가 있나요?
grm2206140091092,이것도 논리적 오류인가요.
grm2208030069613,왜 잡아당기는 방향으로 작용하나요?
grm2206130074042,어떻게 되는 건지 궁금합니다.
grm2209230116168,학생분도 새해 복 많이 많이 받으시고 올해 꼭 원하는 바 모두 이루어지길 바라겠습니다.
grm2206210028596,저도 진짜 축구 동아리에 들어가고 싶어요.
grm2209070062598,근데 저는 전과를 해서 교과서도 없고 본적도 없습니다.
grm2209210116424,새것을 푸시는 게 좋을 것 같아요.
grm2206270014102,한 달 반 정도만에 문제 끝내는 게 나을까요?
grm2209200106419,걱정돼서 애들 매일 데리러 가야겠어.
grm2209090089529,"또, 왜 일부로 표현했는지도 궁금합니다."
grm2207250031557,제 인생 선생님 중 한 분이시랍니다.
grm2207110029961,그 분이 열심히 공부하셔서 장학금 타서 간다.
grm2209160119569,저 글에 님이 직접적으로 언급되지 않지 않았냐고 물어보는 게 옹호에요?
grm2208050060022,둘이 무슨 관련이 있나요.
grm2207250034824,저도 남한테 조언할 처지는 아니다.
grm2209150098924,그의 업적을 들여다봐야 한다.
grm2207010019658,수능 끝나면 친구랑 우정여행 가기로 했어요.
grm2208170059240,그러면 인도에서 불경을 가져온 승려는 현장밖에 없나요.
grm2206240032024,원래 주전공은 초등교육과 하나인데 그 안에서 심화전공이 나뉩니다!
grm2207050032959,국어 이야기는 저도 들었어요..
grm2208230091537,듣기랑 단어 하고 시작해 강좌를 끝냈습니다.
grm2207070021619,책상 위에는 뭘 쓰거나 부착하면 안 됩니다!
grm2207040028622,처음에는 세계사와 동아시아를 하려고 했어요.
grm2206280027805,한결 마음에 안정이 찾아오는군요.
grm2209230113000,이것도 안 쓰는 표현은 아니에요!
grm2208160086270,사회 문제의 발생 원인을 설명할 수 있다.
grm2210200118248,학교 다닐 때 공부 시간이 어느 정도 되셨나요?
grm2207290028226,정말 듣기 좋은 노래입니다!
grm2206240011782,계획을 세워서 서울대 가신 분들도 계시고 마스터님처럼 의대 가신 분들도 분명 있어요.
grm2207180032063,정확한 성적은 쪽지 주시면 감사하겠습니다.
grm2208310060858,하는 부분에서 그 계기를 성리학을 통해 규범과 질서를 형성했던 조선 사회 체제에 근거해서 이해하면 될까요?
grm2210210098945,광개토 대왕이 대신 신라에 쳐들어온 왜군들을 격퇴한 계기로 고구려가 한반도 남부까지 영향을 미치게 돼.
grm2207210039176,과목에 따라 서술형 문제의 유형이 크게 다릅니다!
grm2207110021864,영상이 올라가는 동안 오류가 생겼나 봐요.
grm2206300001991,"대신에 갔다 오면, 후기 달아 드릴게요..."
grm2208260073834,전하를 가지지 않는 물체도 있나요?
grm2208290061376,"나와 있는데, 이때 아테네만 멸망한 것인가요, 아니면 그리스 전체가 멸망한 것인가요?"
grm2208110079082,이제 시작했는데 문제 정말 어렵고 좋네요.
grm2208250090407,아니면 인구를 모르니 알 수 없다고 해야 맞는 건가요?
grm2209020071072,이 문항에서는 체중계의 질량은 없다고 가정하고 푸는 것인가요?
grm2207070027856,그러니 처음에 필기를 꼼꼼하게 해두는 게 좋겠죠?
grm2208240052651,별들을 낯설게 드러낸 거라고 해설지에 나와있는데 이게 낯설게 드러낸 거예요?
grm2210130108953,제가 제일로 좋아하는 가수입니다
grm2206240000059,심심한 게 아니라 자꾸 저분이 제가 한 말 아닌 걸 제가 한 것처럼 지어내요.
grm2206200027885,수험생이 쉽게 다룰 수 있는 함수이더라고요.
grm2206140042649,도대체 어떻게 해야 할지 모르겠습니다.
grm2209050081243,역할 행동은 특정한 지위와 관련된 행동을 말하는 건데 갑이 특정한 지위와 관련해서 행동을 한 건 아니잖아요.
grm2208160057147,"장원은 어디를 말하는 것이고, 누가 거주했나요?"
grm2208170060961,이 교재로 강의 들어도 될까요?
grm2206140084641,갈등 이론가들은 사회 질서를 억압의 결과로 보고 부정적으로 생각하나요?
grm2208290041613,비문학과 문학의 학습법을 익히고 이후 모의고사 준비를 할 때에는 그냥 기출문제집을 활용해서 공부하면 되네요?
